PositionX [?m],PositionY [?m],Time [s]
12.450725,14.013043,06:24.8
12.363043,14.100725,06:25.8
12.44375,14.086111,06:26.9
12.386,14.009333,06:27.8
12.450725,14.096377,06:28.8
12.422667,14.182667,06:29.8
12.457937,14.051587,06:30.9
12.45,14.133333,06:31.8
12.437719,14.087719,06:32.8
12.483333,14.1,06:33.8
12.54,14.109333,06:34.8
12.466667,14.148551,06:35.8
12.432716,14.191358,06:36.8
12.45,14.133333,06:37.8
12.498551,14.116667,06:38.8
12.420833,14.070833,06:39.8
12.483333,14.133333,06:40.8
12.383333,14.1,06:41.8
12.466667,14.116667,06:42.8
12.466667,14.116667,06:43.8
12.483333,14.1,06:44.8
12.527778,13.99375,06:45.8
12.492857,14.081746,06:46.8
12.483333,14.1,06:47.8
12.437719,14.087719,06:48.8
12.489583,14.055556,06:49.8
12.452,14.014,06:50.8
12.374,14.043333,06:51.9
12.489583,14.055556,06:52.8
12.466667,14.091667,06:53.8
12.466667,14.116667,06:54.9
12.383333,14.1,06:55.8
12.510667,14.009333,06:56.9
12.466667,13.975,06:57.9
12.457937,13.968254,06:58.8
12.388095,14.003175,06:59.8
12.426812,13.98913,07:00.8
12.444667,14.028667,07:01.8
12.496,13.999333,07:02.8
12.5,14.008333,07:03.8
12.441667,14,07:04.8
12.449206,14.020635,07:05.8
12.423016,13.959524,07:06.8
12.422667,14.021333,07:07.8
12.459028,14.063194,07:08.8
12.414286,13.968254,07:09.8
12.450725,14.013043,07:10.8
12.422667,14.021333,07:11.8
12.466667,14.025,07:12.8
12.442754,14.028986,07:13.8
12.375,14.025,07:14.8
12.466667,14.025,07:15.8
12.379365,14.073016,07:16.8
12.394928,14.100725,07:17.8
12.420833,14.1075,07:18.9
12.436111,14.032639,07:19.8
12.375,14.116667,07:20.8
12.370635,14.099206,07:21.8
12.355072,14.132609,07:22.8
12.338333,14.144167,07:23.9
12.338333,14.080833,07:24.8
12.283333,14.116667,07:25.8
12.375,14.025,07:26.8
12.440476,14.090476,07:27.8
12.344444,14.09375,07:28.8
12.457018,14.049123,07:29.8
12.389103,13.989744,07:30.8
12.360897,14.039103,07:31.8
12.358333,14.083333,07:32.8
12.364,14.014,07:33.8
12.382639,14.032639,07:34.8
12.358333,14.083333,07:35.8
12.41087,14.092754,07:36.8
12.358333,14.066667,07:37.8
12.364,14.102,07:38.8
12.378986,14.068841,07:39.8
12.411667,14.089167,07:40.8
12.413194,14.109028,07:41.8
12.437719,14.087719,07:42.8
12.437719,14.087719,07:43.8
12.466667,14.116667,07:44.8
12.375,14.116667,07:45.8
12.413194,14.109028,07:46.8
12.487037,14.143827,07:47.8
12.459333,14.087333,07:48.8
12.323188,14.024638,07:49.8
12.352083,14.09375,07:50.8
12.408,14.058,07:51.8
12.378667,14.160667,07:52.8
12.375,14.116667,07:53.8
12.318254,14.107937,07:54.8
12.448333,14.180833,07:55.8
12.466667,14.142857,07:56.8
12.366667,14.142857,07:57.8
12.432292,14.185417,07:58.8
12.390278,14.147222,07:59.8
12.466667,14.208333,08:00.8
12.408333,14.175,08:01.8
12.414286,14.134127,08:02.8
12.431746,14.125397,08:03.8
12.437719,14.087719,08:04.8
